Age,Gender,Height,Weight,Steps_per_Day,Calories_Burned,Active_Minutes,Heart_Rate,Location,Workout_Routine
35.00,Male,165,94,3196,111.60,115,80.00,Suburban,1
,Male,173,67,4466,178.38,162,102.00,Urban,0
51.00,Male,168,56,2906,134.22,96,92.00,Urban,0
27.00,Female,170,72,19105,752.94,20,87.00,Rural,0
53.00,Male,174,78,12883,631.00,79,91.00,Urban,0
31.00,Male,166,67,16437,771.72,38,97.00,Urban,1
48.00,Male,160,91,15497,568.13,161,116.00,Rural,1
32.00,Male,164,57,2816,107.01,120,115.00,Rural,0
25.00,Male,181,65,11713,450.56,123,65.00,Rural,0
31.00,Female,171,74,4849,206.20,142,65.00,Urban,0
,Male,161,75,7849,280.49,5,80.00,Urban,1
57.00,Female,174,70,2058,101.63,55,107.00,Urban,0
38.00,Male,174,50,12730,536.87,48,77.00,Urban,0
33.00,Female,175,105,19706,748.59,91,53.00,Suburban,0
35.00,Female,160,66,18332,786.45,128,59.00,Urban,1
41.00,Female,163,71,5359,203.15,64,100.00,Suburban,0
43.00,Female,163,79,13809,640.13,27,67.00,Urban,0
42.00,Male,166,60,6660,275.44,99,96.00,Urban,0
58.00,Male,175,70,8254,254.55,147,81.00,Rural,1
46.00,Female,172,59,13822,463.52,175,79.00,Urban,0
32.00,Non-Binary,173,76,3093,146.30,71,85.00,Urban,1
18.00,Female,183,65,12730,525.21,64,58.00,Urban,0
42.00,Female,176,74,18947,928.53,50,85.00,Urban,0
24.00,Female,168,54,9217,289.86,170,78.00,Urban,1
26.00,Female,158,57,17558,630.42,48,65.00,Urban,1
41.00,Male,162,49,18718,633.99,152,70.00,Suburban,0
18.00,Female,167,59,17705,727.26,73,113.00,Rural,0
25.00,Non-Binary,178,31,13342,502.40,168,115.00,Suburban,0
41.00,Male,169,65,13239,438.81,11,108.00,Urban,0
28.00,Female,163,61,14854,636.57,103,77.00,Suburban,0
34.00,Male,162,72,14897,606.69,80,104.00,Urban,0
25.00,Female,169,70,12419,440.81,126,80.00,Suburban,0
52.00,Male,178,88,11064,438.08,13,82.00,Suburban,0
52.00,Female,185,108,16003,718.77,33,109.00,Urban,0
50.00,Female,167,87,11259,383.99,47,90.00,Rural,0
22.00,Male,169,63,6674,239.32,60,95.00,Rural,0
59.00,Female,157,62,6002,221.61,34,98.00,Rural,0
56.00,Female,189,83,1910,85.82,118,114.00,Urban,0
58.00,Non-Binary,155,44,1949,91.48,64,91.00,Suburban,0
45.00,Male,181,65,19898,746.73,58,72.00,Rural,0
24.00,Male,166,66,12523,449.98,35,76.00,Urban,0
26.00,Male,164,78,12221,584.03,146,81.00,Rural,0
25.00,Non-Binary,158,79,17484,873.98,41,52.00,Urban,0
,Non-Binary,194,58,5646,245.08,68,109.00,Urban,0
51.00,Female,172,63,7945,395.66,146,66.00,Suburban,0
50.00,Female,170,76,3400,146.88,106,81.00,Suburban,0
40.00,Female,178,58,12563,561.18,38,56.00,Suburban,1
41.00,Female,163,88,19727,745.15,68,118.00,Rural,0
54.00,Male,170,79,1352,52.27,179,107.00,Urban,1
52.00,Female,170,72,16489,542.20,11,89.00,Urban,0
57.00,Male,164,75,2018,93.75,82,97.00,Rural,0
39.00,Female,181,62,18563,902.55,174,100.00,Urban,0
44.00,Female,167,60,6193,263.01,35,106.00,Suburban,0
52.00,Female,154,63,16701,615.82,,86.00,Suburban,1
18.00,Male,166,77,4536,150.05,62,104.00,Urban,0
52.00,Male,172,73,16449,580.70,75,90.00,Urban,0
54.00,Male,161,63,12842,450.86,81,69.00,Suburban,0
31.00,Male,161,81,19886,840.59,50,82.00,Rural,0
20.00,Male,164,67,4819,235.65,42,89.00,Suburban,0
18.00,Non-Binary,182,59,18363,568.62,33,83.00,Suburban,0
22.00,Female,165,73,1976,59.32,96,111.00,Urban,1
43.00,Male,184,54,19664,825.96,48,68.00,Urban,0
31.00,Male,163,44,6897,246.09,145,92.00,Urban,0
56.00,Male,173,69,16957,807.34,124,118.00,Urban,0
44.00,Female,165,60,16359,597.84,56,112.00,Urban,0
26.00,Female,177,66,14240,509.72,92,59.00,Urban,0
32.00,Non-Binary,158,55,1107,39.18,108,62.00,Urban,1
32.00,Female,177,88,16524,543.59,,54.00,Urban,0
43.00,Non-Binary,171,60,2626,109.32,23,107.00,Urban,0
59.00,Female,163,63,7229,241.19,58,108.00,Suburban,1
30.00,Male,168,75,7877,303.21,37,108.00,Suburban,0
49.00,Non-Binary,185,49,1874,73.50,160,64.00,Urban,0
56.00,Male,171,48,6543,198.97,9,50.00,Rural,0
49.00,Female,162,75,4809,145.89,164,87.00,Urban,1
21.00,Male,157,63,11603,468.81,125,102.00,Rural,0
47.00,Female,175,56,3107,136.46,10,101.00,Urban,0
54.00,Female,171,79,12745,622.50,,50.00,Rural,0
40.00,Female,176,57,10465,351.44,87,60.00,Urban,0
56.00,Female,155,65,1559,49.99,113,107.00,Suburban,0
32.00,Male,158,56,9308,288.94,20,89.00,Urban,0
46.00,Male,181,74,16250,629.21,147,109.00,Suburban,0
53.00,Male,173,89,14255,605.31,9,93.00,Urban,1
30.00,Male,175,42,4046,189.40,174,55.00,Urban,0
49.00,Female,160,71,14856,648.51,174,77.00,Suburban,0
24.00,Male,160,82,17427,595.43,142,80.00,Urban,1
39.00,Non-Binary,179,63,1508,59.17,171,57.00,Rural,0
45.00,Female,180,53,7107,342.61,133,54.00,Urban,1
19.00,Female,159,76,14476,528.88,65,103.00,Urban,0
59.00,Male,157,85,4439,177.45,121,66.00,Suburban,0
23.00,Female,168,83,14136,695.09,131,87.00,Urban,0
45.00,Non-Binary,162,75,15167,677.88,22,58.00,Urban,0
45.00,Female,161,71,18300,822.67,12,63.00,Suburban,0
37.00,Female,157,56,18182,637.22,158,75.00,Suburban,0
47.00,Female,165,82,5971,228.65,15,111.00,Rural,0
28.00,Male,158,82,19144,605.85,40,74.00,Urban,0
45.00,Female,159,52,16883,711.29,0,85.00,Suburban,0
42.00,Male,172,75,1818,58.31,110,82.00,Urban,0
56.00,Male,169,79,11360,530.72,11,52.00,Urban,0
50.00,Male,174,83,12927,598.40,,60.00,Suburban,0
18.00,Male,153,68,17023,692.36,177,107.00,Urban,0
44.00,Male,170,57,4065,133.43,19,113.00,Urban,0
,Male,190,62,4259,129.95,35,67.00,Urban,0
58.00,Non-Binary,166,54,18290,840.14,78,96.00,Suburban,0
20.00,Female,178,69,13300,558.64,165,93.00,Rural,0
56.00,Non-Binary,178,66,1602,70.84,149,108.00,Suburban,1
23.00,Male,178,102,5295,191.02,107,99.00,Urban,0
25.00,Male,171,83,10983,441.40,177,118.00,Suburban,0
44.00,Female,175,84,4527,203.46,95,78.00,Suburban,1
26.00,Male,176,77,2811,110.34,58,116.00,Urban,0
54.00,Male,176,64,13103,550.69,19,51.00,Urban,0
50.00,Female,158,65,10032,459.41,163,74.00,Urban,0
59.00,Male,152,67,13877,476.04,125,68.00,Urban,0
41.00,Female,154,72,8963,280.71,96,89.00,Rural,0
32.00,Female,167,75,16224,659.29,142,51.00,Urban,0
49.00,Male,175,70,9916,309.80,61,114.00,Urban,0
49.00,Male,158,65,7766,352.04,130,111.00,Rural,0
41.00,Female,179,61,18186,807.17,,103.00,Rural,0
58.00,Female,164,49,19966,951.07,90,94.00,Suburban,0
29.00,Male,165,89,2665,114.04,132,98.00,Urban,0
56.00,Non-Binary,161,103,16932,530.72,122,118.00,Urban,0
19.00,Male,151,87,7975,279.63,158,87.00,Urban,0
20.00,Female,172,51,3552,163.96,85,53.00,Urban,0
54.00,Non-Binary,187,81,14219,474.10,162,66.00,Urban,1
34.00,Male,169,85,15274,671.59,117,102.00,Suburban,0
19.00,Male,151,63,13612,620.78,25,102.00,Urban,0
19.00,Male,177,77,3808,139.38,117,80.00,Urban,0
45.00,Male,153,63,12090,440.63,0,71.00,Urban,0
40.00,Male,157,92,13260,545.73,6,60.00,Suburban,0
54.00,Female,167,75,16295,769.54,163,83.00,Suburban,0
49.00,Male,171,56,15837,546.03,75,64.00,Suburban,0
50.00,Female,159,80,15669,765.04,86,59.00,Urban,1
18.00,Non-Binary,167,85,11523,483.76,152,102.00,Urban,0
,Female,177,72,13762,685.93,93,97.00,Urban,1
19.00,Female,178,77,14769,469.54,60,80.00,Urban,0
43.00,Male,182,68,14731,479.22,28,86.00,Rural,0
49.00,Female,189,52,12877,599.20,94,77.00,Rural,1
23.00,Female,178,67,3456,163.45,17,80.00,Suburban,0
49.00,Male,167,77,6423,249.91,40,119.00,Rural,1
21.00,Male,178,68,15246,675.11,146,63.00,Suburban,0
28.00,Female,174,82,13846,655.62,131,65.00,Urban,0
34.00,Male,175,64,5317,164.10,40,74.00,Rural,0
55.00,Male,171,65,18940,785.61,122,88.00,Urban,0
41.00,Male,160,82,19589,922.05,142,115.00,Suburban,0
22.00,Male,159,73,13635,517.63,142,87.00,Urban,0
51.00,Female,169,63,14470,521.61,177,90.00,Urban,0
23.00,Female,171,85,14176,650.88,21,89.00,Suburban,0
39.00,Female,163,59,10113,371.31,145,113.00,Urban,0
28.00,Male,174,59,14546,437.30,79,65.00,Urban,0
33.00,Male,190,27,7805,383.94,129,108.00,Urban,0
50.00,Female,152,61,17788,744.29,35,60.00,Urban,0
26.00,Male,175,89,19004,881.60,19,50.00,Rural,0
23.00,Male,169,38,9080,422.27,143,62.00,Suburban,1
33.00,Female,174,55,4118,129.01,66,79.00,Urban,0
46.00,Male,165,76,7630,254.97,119,118.00,Urban,0
20.00,Female,168,36,1565,56.69,157,67.00,Rural,0
37.00,Male,171,62,16701,608.15,54,62.00,Urban,1
53.00,Male,166,87,15859,684.72,65,81.00,Urban,0
36.00,Male,154,100,8670,368.15,25,99.00,Urban,0
43.00,Non-Binary,167,74,10476,417.91,129,80.00,Rural,0
20.00,Female,155,56,9776,334.59,55,100.00,Urban,0
36.00,Non-Binary,176,55,16021,603.03,33,76.00,Urban,0
37.00,Female,151,72,5327,217.72,55,109.00,Urban,1
49.00,Male,180,74,16275,640.58,54,82.00,Urban,1
24.00,Female,174,97,8614,280.35,19,102.00,Suburban,0
58.00,Female,174,84,2245,96.51,49,82.00,Urban,0
50.00,Female,148,71,9243,290.79,152,90.00,Urban,1
57.00,Male,166,64,11355,426.54,83,68.00,Urban,0
56.00,Female,181,115,1537,67.94,152,90.00,Urban,0
35.00,Male,164,79,16924,514.50,52,91.00,Rural,0
57.00,Male,159,59,17236,713.56,141,72.00,Rural,0
18.00,Female,163,66,17924,657.64,110,82.00,Urban,0
,Female,169,56,18198,549.15,170,69.00,Urban,1
45.00,Male,161,33,2415,81.65,111,74.00,Urban,0
42.00,Male,182,74,12030,587.29,68,101.00,Suburban,0
40.00,Female,169,96,2652,107.20,1,61.00,Suburban,0
48.00,Female,164,45,11857,592.19,15,81.00,Urban,0
47.00,Female,156,70,19740,799.40,93,82.00,Suburban,0
59.00,Non-Binary,174,59,4810,196.63,170,117.00,Suburban,0
52.00,Female,174,77,17569,664.76,165,64.00,Rural,0
24.00,Male,162,67,2551,92.35,44,100.00,Urban,1
33.00,Female,147,49,14584,510.89,125,55.00,Urban,0
43.00,Male,174,55,1761,64.93,178,118.00,Urban,1
19.00,Male,168,57,13511,529.59,169,118.00,Rural,0
18.00,Female,173,90,10471,354.34,23,84.00,Suburban,0
29.00,Male,189,89,13467,464.58,114,83.00,Suburban,0
22.00,Non-Binary,169,65,7163,253.79,157,112.00,Urban,0
54.00,Female,164,88,17065,665.28,164,117.00,Urban,0
49.00,Female,158,67,12886,554.82,122,67.00,Urban,0
26.00,Female,166,65,18920,891.57,138,75.00,Suburban,0
58.00,Female,171,70,7201,257.38,77,110.00,Urban,0
52.00,Female,170,74,16580,558.32,150,97.00,Urban,0
,Female,187,61,8399,315.61,116,80.00,Suburban,0
33.00,Male,174,70,17945,859.34,79,83.00,Urban,0
20.00,Female,168,81,8623,260.39,49,56.00,Urban,0
37.00,Male,162,71,11327,493.37,84,56.00,Urban,0
41.00,Female,172,70,8187,323.74,3,96.00,Rural,0
50.00,Female,160,77,3180,105.64,60,57.00,Suburban,0
41.00,Female,171,80,2960,107.80,110,50.00,Rural,0
28.00,Male,174,69,6153,212.27,77,52.00,Urban,0
,Male,167,62,8035,382.12,82,102.00,Rural,0
53.00,Female,163,72,12471,494.32,132,87.00,Rural,0
55.00,Male,148,46,1582,65.28,99,100.00,Suburban,1
57.00,Male,181,66,16514,691.50,145,64.00,Rural,0
37.00,Male,174,32,16531,707.40,171,116.00,Urban,1
52.00,Non-Binary,174,44,17672,705.31,30,113.00,Urban,0
42.00,Female,154,42,8979,272.58,118,117.00,Urban,1
52.00,Male,183,85,4060,148.98,93,54.00,Suburban,0
42.00,Male,165,70,14731,496.10,148,59.00,Suburban,0
46.00,Male,167,51,13294,579.66,174,57.00,Suburban,0
35.00,Female,159,77,18567,578.07,29,61.00,Urban,0
35.00,Female,152,84,15274,630.45,54,113.00,Urban,1
19.00,Male,181,77,18830,644.22,104,108.00,Urban,0
52.00,Male,182,67,17348,849.65,40,116.00,Suburban,1
33.00,Male,168,73,2903,106.57,172,99.00,Urban,0
58.00,Female,163,83,15551,567.68,73,72.00,Rural,0
53.00,Female,166,62,16141,782.32,157,89.00,Urban,0
50.00,Male,166,70,3377,129.50,76,67.00,Urban,1
21.00,Male,158,66,1847,90.98,84,70.00,Rural,0
50.00,Male,167,45,15380,468.83,172,50.00,Urban,0
31.00,Non-Binary,171,83,18623,672.79,103,87.00,Urban,0
,Male,180,100,10524,455.94,172,90.00,Urban,0
37.00,Female,170,56,16231,776.12,78,91.00,Urban,1
25.00,Female,154,84,12698,446.06,83,58.00,Rural,0
24.00,Male,173,57,11571,562.46,,72.00,Suburban,0
,Male,167,71,13314,557.62,132,60.00,Urban,0
34.00,Male,183,92,12429,571.98,123,80.00,Suburban,0
50.00,Female,184,62,3365,127.68,31,75.00,Urban,0
29.00,Female,184,69,11604,397.36,5,79.00,Suburban,0
39.00,Female,164,42,12366,596.35,93,83.00,Rural,0
39.00,Female,189,60,6055,294.65,25,95.00,Rural,0
,Male,173,41,6622,264.56,36,118.00,Urban,0
55.00,Non-Binary,186,76,17756,534.99,12,54.00,Urban,0
55.00,Female,164,82,8783,282.77,92,110.00,Urban,1
25.00,Male,167,66,2949,122.27,24,87.00,Suburban,1
44.00,Non-Binary,172,74,17628,537.22,140,77.00,Suburban,0
44.00,Female,171,65,11032,418.53,19,75.00,Urban,0
51.00,Female,182,81,12619,455.13,71,110.00,Rural,0
38.00,Female,167,71,17508,775.38,148,72.00,Urban,0
47.00,Female,181,40,13824,430.09,114,95.00,Urban,0
50.00,Female,177,84,11945,475.11,126,79.00,Urban,0
45.00,Male,167,64,2919,121.38,25,116.00,Urban,0
50.00,Male,176,50,10827,458.48,53,82.00,Urban,0
22.00,Non-Binary,165,63,10617,404.54,169,52.00,Suburban,1
36.00,Male,193,41,10732,387.29,138,118.00,Urban,0
21.00,Male,143,51,1530,66.78,164,91.00,Urban,0
52.00,Male,176,72,8849,415.47,124,111.00,Suburban,0
34.00,Male,152,73,7929,347.86,10,107.00,Urban,0
45.00,Female,167,74,5349,260.19,26,106.00,Suburban,0
47.00,Non-Binary,169,70,15456,685.40,93,50.00,Urban,0
46.00,Male,185,59,12295,556.87,82,109.00,Suburban,0
23.00,Male,163,69,19185,639.97,33,118.00,Rural,0
52.00,Male,183,63,6156,236.33,37,108.00,Urban,0
58.00,Female,158,45,10228,406.06,86,95.00,Suburban,0
54.00,Female,183,58,12920,453.83,64,83.00,Rural,1
41.00,Male,165,83,8432,342.09,130,74.00,Suburban,0
46.00,Female,170,93,13203,472.88,155,91.00,Urban,0
48.00,Female,166,79,7189,314.52,141,78.00,Urban,0
52.00,Female,182,93,2142,84.41,51,74.00,Suburban,0
50.00,Non-Binary,180,71,8614,337.46,29,103.00,Rural,1
38.00,Male,174,96,15253,757.66,112,116.00,Urban,0
49.00,Female,158,100,19013,719.62,142,64.00,Urban,0
40.00,Female,162,43,18146,675.86,165,53.00,Urban,0
50.00,Female,159,73,7905,287.52,141,87.00,Urban,0
20.00,Female,147,71,5889,282.05,7,69.00,Urban,1
35.00,Female,182,63,5839,233.18,71,72.00,Urban,0
42.00,Female,166,77,4957,208.20,146,86.00,Urban,0
59.00,Male,166,70,1557,52.34,31,111.00,Urban,1
48.00,Female,184,58,5621,229.44,94,57.00,Rural,0
20.00,Non-Binary,165,69,15932,565.47,156,86.00,Urban,0
57.00,Non-Binary,161,88,1839,82.04,40,94.00,Urban,0
41.00,Male,167,72,10243,477.84,74,82.00,Urban,0
49.00,Male,158,79,10596,469.36,44,56.00,Rural,0
39.00,Male,173,65,7998,356.75,12,71.00,Suburban,0
40.00,Female,166,76,11129,447.94,154,54.00,Suburban,0
19.00,Female,164,51,1510,66.81,18,64.00,Urban,1
44.00,Male,164,62,12596,484.36,153,70.00,Rural,0
59.00,Female,168,68,13974,601.30,52,66.00,Urban,0
19.00,Female,170,50,2137,75.18,178,105.00,Urban,0
43.00,Female,164,57,14700,461.51,164,99.00,Suburban,1
34.00,Female,166,74,5666,216.83,136,56.00,Rural,0
57.00,Female,169,71,9906,388.67,179,99.00,Suburban,1
,Female,168,82,11478,403.20,2,109.00,Rural,0
26.00,Male,170,60,3654,162.80,95,56.00,Rural,1
56.00,Female,163,70,1990,62.63,135,89.00,Urban,0
46.00,Female,180,59,3160,108.88,13,94.00,Urban,0
59.00,Female,170,80,16136,725.66,119,108.00,Urban,0
43.00,Female,164,87,11336,439.18,130,104.00,Rural,0
52.00,Female,173,77,15269,673.45,151,113.00,Urban,0
42.00,Male,169,85,17206,711.46,12,114.00,Rural,0
41.00,Female,152,70,3063,150.13,170,103.00,Urban,0
30.00,Male,173,82,11795,494.87,156,89.00,Urban,1
24.00,Male,159,71,19361,586.59,71,102.00,Urban,0
53.00,Female,179,54,9567,354.53,178,93.00,Urban,0
37.00,Non-Binary,167,73,9933,326.41,169,112.00,Rural,0
18.00,Male,177,55,16619,805.90,158,51.00,Urban,0
25.00,Male,163,105,5919,189.88,153,70.00,Urban,1
33.00,Female,170,64,12741,481.03,145,99.00,Urban,0
31.00,Male,182,79,9798,338.25,81,101.00,Urban,0
29.00,Female,167,69,17927,841.39,56,58.00,Urban,0
40.00,Female,164,51,15566,563.04,6,69.00,Urban,1
32.00,Female,176,41,1883,93.84,,67.00,Rural,1
45.00,Male,176,81,10415,320.49,47,79.00,Urban,0
51.00,Male,164,93,12085,393.55,79,114.00,Urban,0
19.00,Female,150,58,16008,552.16,118,73.00,Suburban,0
49.00,Female,163,45,19452,899.11,119,96.00,Urban,0
40.00,Male,176,65,9120,433.84,59,93.00,Urban,0
39.00,Female,162,55,8820,277.20,32,78.00,Suburban,0
42.00,Male,169,60,12901,395.41,114,117.00,Urban,0
39.00,Female,163,79,19170,860.56,127,66.00,Suburban,0
39.00,Male,150,69,17259,563.80,2,54.00,Urban,0
59.00,Non-Binary,163,57,10649,347.80,3,99.00,Suburban,0
23.00,Male,176,78,9269,282.22,99,89.00,Rural,0
32.00,Male,146,80,12805,396.91,3,95.00,Urban,0
54.00,Male,172,64,18692,659.33,41,100.00,Urban,0
50.00,Male,158,72,11379,356.16,8,60.00,Urban,0
25.00,Female,176,77,9744,364.21,,61.00,Urban,1
22.00,Non-Binary,177,76,14285,666.47,144,62.00,Rural,0
56.00,Male,168,70,9473,346.01,144,113.00,Suburban,0
21.00,Male,168,91,11679,520.38,96,57.00,Urban,1
23.00,Female,161,78,15605,497.46,19,114.00,Suburban,0
49.00,Female,156,63,11985,517.60,141,58.00,Urban,1
47.00,Female,186,63,13391,486.56,21,51.00,Suburban,0
52.00,Male,161,61,5861,263.72,179,62.00,Suburban,0
57.00,Male,185,79,2596,84.95,26,51.00,Suburban,0
33.00,Female,161,60,17863,856.67,42,117.00,Urban,0
30.00,Male,175,63,11155,388.77,130,97.00,Suburban,0
59.00,Female,158,85,8919,330.56,93,52.00,Urban,0
47.00,Male,175,72,11334,555.41,7,117.00,Suburban,1
36.00,Female,166,87,15628,649.65,85,55.00,Urban,0
34.00,Male,166,81,3072,114.63,88,54.00,Urban,0
36.00,Female,176,52,10487,513.78,137,52.00,Suburban,0
45.00,Female,165,68,6624,242.32,112,59.00,Rural,0
43.00,Female,155,84,1938,61.82,156,92.00,Urban,0
54.00,Male,177,51,9176,458.22,167,68.00,Rural,0
43.00,Female,158,76,1761,62.26,20,63.00,Suburban,0
40.00,Female,175,69,13941,655.58,151,70.00,Suburban,0
26.00,Female,179,43,2669,88.91,153,92.00,Rural,0
29.00,Female,166,71,8128,362.73,8,77.00,Urban,0
18.00,Female,181,57,13091,530.04,147,70.00,Rural,0
18.00,Female,174,52,19315,958.37,35,85.00,Urban,0
51.00,Male,163,70,8308,341.10,35,73.00,Urban,0
49.00,Female,184,41,2126,64.84,72,103.00,Suburban,0
,Female,158,59,7021,295.43,149,87.00,Rural,0
57.00,Male,166,108,7437,244.72,0,66.00,Rural,0
18.00,Male,167,79,8039,369.56,68,71.00,Suburban,0
33.00,Male,176,56,18587,876.03,36,94.00,Suburban,0
56.00,Female,181,91,5135,203.56,,110.00,Urban,0
22.00,Female,180,55,16111,735.70,106,60.00,Rural,0
39.00,Female,172,61,12964,426.54,95,110.00,Urban,1
46.00,Female,167,52,9711,386.90,140,87.00,Suburban,0
20.00,Male,151,73,8904,337.27,83,115.00,Suburban,0
,Male,156,90,3283,138.63,42,82.00,Suburban,0
43.00,Male,187,55,3477,107.40,36,92.00,Urban,1
33.00,Male,151,39,4093,184.36,24,80.00,Rural,0
54.00,Male,162,86,8207,259.20,148,84.00,Suburban,0
39.00,Male,181,93,10394,448.29,168,86.00,Rural,0
46.00,Female,172,40,15841,481.08,72,96.00,Urban,0
31.00,Female,179,76,7227,337.05,169,72.00,Suburban,0
45.00,Non-Binary,175,73,14280,478.29,41,85.00,Suburban,0
22.00,Non-Binary,184,58,4535,182.81,1,89.00,Suburban,0
47.00,Female,172,49,11582,408.03,135,64.00,Rural,1
22.00,Male,176,84,3913,173.94,95,86.00,Urban,0
29.00,Female,162,72,3340,121.67,60,53.00,Urban,0
33.00,Female,175,73,6289,279.81,13,71.00,Urban,0
43.00,Male,166,60,1597,57.01,112,71.00,Urban,0
43.00,Male,165,57,16025,721.92,76,66.00,Rural,1
38.00,Female,178,33,8145,249.34,20,87.00,Urban,0
56.00,Male,179,66,3902,139.17,,73.00,Urban,0
53.00,Female,186,91,9955,397.93,177,55.00,Urban,1
50.00,Female,186,56,8694,268.65,172,117.00,Suburban,0
47.00,Male,179,47,5830,196.59,63,55.00,Urban,0
54.00,Male,152,76,10834,527.52,153,75.00,Urban,0
40.00,Male,188,79,11489,569.13,159,90.00,Urban,1
,Male,179,61,16768,751.12,56,87.00,Urban,1
22.00,Male,162,64,11364,398.24,118,92.00,Rural,0
53.00,Female,177,73,3160,111.26,160,102.00,Urban,0
51.00,Male,159,67,14268,612.32,51,64.00,Suburban,1
,Female,176,85,15485,500.97,94,105.00,Rural,0
27.00,Male,156,106,3922,192.05,145,105.00,Suburban,1
36.00,Non-Binary,161,44,4804,165.72,162,80.00,Rural,0
49.00,Male,177,88,3368,168.38,139,106.00,Rural,0
18.00,Male,180,71,16157,644.90,178,100.00,Urban,0
22.00,Female,173,90,9093,413.08,88,73.00,Suburban,0
21.00,Female,167,80,4932,148.18,9,107.00,Urban,0
33.00,Male,148,70,12552,599.67,51,53.00,Urban,1
41.00,Female,167,81,6608,233.92,33,59.00,Rural,0
33.00,Female,175,64,13899,602.64,114,112.00,Suburban,1
19.00,Female,166,58,10292,474.74,166,64.00,Suburban,0
45.00,Male,169,82,10862,361.52,135,112.00,Suburban,0
49.00,Male,168,57,6531,253.73,124,68.00,Urban,1
44.00,Female,166,79,11412,455.07,156,112.00,Rural,0
37.00,Female,170,70,7344,266.16,149,105.00,Urban,0
41.00,Male,167,35,17759,703.88,42,70.00,Urban,0
29.00,Female,184,61,8887,323.05,176,83.00,Rural,0
52.00,Female,147,75,18993,706.82,28,66.00,Urban,0
50.00,Male,164,63,17158,744.43,105,67.00,Suburban,1
